kx ky BerryCurvature
5.654866776461627609e+00 7.853981633974482790e-01 1.996148106270214577e-06
5.811946409141117265e+00 7.853981633974482790e-01 1.043953595307762637e-06
5.969026041820606920e+00 7.853981633974482790e-01 4.405752901027251971e-07
6.126105674500097464e+00 7.853981633974482790e-01 1.067875798297580523e-07
0.000000000000000000e+00 9.424777960769380458e-01 -0.000000000000000000e+00
1.570796326794896558e-01 9.424777960769380458e-01 1.015501397796439398e-07
3.141592653589793116e-01 9.424777960769380458e-01 4.189666337341439042e-07
4.712388980384690229e-01 9.424777960769380458e-01 9.927495340862916364e-07
6.283185307179586232e-01 9.424777960769380458e-01 1.898235654791356460e-06
7.853981633974482790e-01 9.424777960769380458e-01 3.259226979368880938e-06
9.424777960769380458e-01 9.424777960769380458e-01 5.271328904660076327e-06
1.099557428756427591e+00 9.424777960769380458e-01 8.240575426266446007e-06
1.256637061435917246e+00 9.424777960769380458e-01 1.264670128451265269e-05
1.413716694115406902e+00 9.424777960769380458e-01 1.924626422978780122e-05
1.570796326794896558e+00 9.424777960769380458e-01 2.923907510583254607e-05
1.727875959474386436e+00 9.424777960769380458e-01 4.453036359851209329e-05
1.884955592153876092e+00 9.424777960769380458e-01 6.812158632160414959e-05
2.042035224833365525e+00 9.424777960769380458e-01 1.046234054455637101e-04
2.199114857512855181e+00 9.424777960769380458e-01 1.607204562258090228e-04
2.356194490192344837e+00 9.424777960769380458e-01 2.449564299528613496e-04
2.513274122871834493e+00 9.424777960769380458e-01 3.652859138938656641e-04
2.670353755551324593e+00 9.424777960769380458e-01 5.219946553611451434e-04
2.827433388230813804e+00 9.424777960769380458e-01 6.957234839694609492e-04
2.984513020910303460e+00 9.424777960769380458e-01 8.399164617421440993e-04
3.141592653589793116e+00 9.424777960769380458e-01 8.970744560472566909e-04
3.298672286269282772e+00 9.424777960769380458e-01 8.399164617421484361e-04
3.455751918948772872e+00 9.424777960769380458e-01 6.957234839694639850e-04
3.612831551628262527e+00 9.424777960769380458e-01 5.219946553611438424e-04
3.769911184307752183e+00 9.424777960769380458e-01 3.652859138938697840e-04
3.926990816987241395e+00 9.424777960769380458e-01 2.449564299528647106e-04
4.084070449666731051e+00 9.424777960769380458e-01 1.607204562258064207e-04
4.241150082346220707e+00 9.424777960769380458e-01 1.046234054455618670e-04
4.398229715025710362e+00 9.424777960769380458e-01 6.812158632160301118e-05
4.555309347705200906e+00 9.424777960769380458e-01 4.453036359851233724e-05
4.712388980384689674e+00 9.424777960769380458e-01 2.923907510583222081e-05
4.869468613064179330e+00 9.424777960769380458e-01 1.924626422978805871e-05
5.026548245743668986e+00 9.424777960769380458e-01 1.264670128451221901e-05
5.183627878423158641e+00 9.424777960769380458e-01 8.240575426266466335e-06
5.340707511102649185e+00 9.424777960769380458e-01 5.271328904659988235e-06
5.497787143782137953e+00 9.424777960769380458e-01 3.259226979369175706e-06
5.654866776461627609e+00 9.424777960769380458e-01 1.898235654791613958e-06
5.811946409141117265e+00 9.424777960769380458e-01 9.927495340864491845e-07
5.969026041820606920e+00 9.424777960769380458e-01 4.189666337341549157e-07
6.126105674500097464e+00 9.424777960769380458e-01 1.015501397796460573e-07
0.000000000000000000e+00 1.099557428756427591e+00 -0.000000000000000000e+00
1.570796326794896558e-01 1.099557428756427591e+00 8.637535733202294144e-08
3.141592653589793116e-01 1.099557428756427591e+00 3.563594958638167105e-07
4.712388980384690229e-01 1.099557428756427591e+00 8.443993010713259144e-07
6.283185307179586232e-01 1.099557428756427591e+00 1.614571486061612199e-06
7.853981633974482790e-01 1.099557428756427591e+00 2.772173699496202805e-06
9.424777960769380458e-01 1.099557428756427591e+00 4.483573909288728814e-06
1.099557428756427591e+00 1.099557428756427591e+00 7.009061445026096402e-06
1.256637061435917246e+00 1.099557428756427591e+00 1.075666065485192759e-05
1.413716694115406902e+00 1.099557428756427591e+00 1.636983843348604225e-05
1.570796326794896558e+00 1.099557428756427591e+00 2.486905960677487405e-05
1.727875959474386436e+00 1.099557428756427591e+00 3.787477986320799805e-05
1.884955592153876092e+00 1.099557428756427591e+00 5.793989107243948354e-05
2.042035224833365525e+00 1.099557428756427591e+00 8.898618553545276956e-05
2.199114857512855181e+00 1.099557428756427591e+00 1.367000810522580202e-04
2.356194490192344837e+00 1.099557428756427591e+00 2.083507459270475017e-04
2.513274122871834493e+00 1.099557428756427591e+00 3.107091573124891488e-04
2.670353755551324593e+00 1.099557428756427591e+00 4.440262943236027420e-04
2.827433388230813804e+00 1.099557428756427591e+00 5.918401205955749200e-04
2.984513020910303460e+00 1.099557428756427591e+00 7.145377397632969585e-04
3.141592653589793116e+00 1.099557428756427591e+00 7.631784563586962652e-04
3.298672286269282772e+00 1.099557428756427591e+00 7.145377397632991269e-04
3.455751918948772872e+00 1.099557428756427591e+00 5.918401205955731853e-04
3.612831551628262527e+00 1.099557428756427591e+00 4.440262943236066451e-04
3.769911184307752183e+00 1.099557428756427591e+00 3.107091573124915341e-04
3.926990816987241395e+00 1.099557428756427591e+00 2.083507459270479353e-04
4.084070449666731051e+00 1.099557428756427591e+00 1.367000810522556349e-04
4.241150082346220707e+00 1.099557428756427591e+00 8.898618553545396218e-05
4.398229715025710362e+00 1.099557428756427591e+00 5.793989107243904986e-05
4.555309347705200906e+00 1.099557428756427591e+00 3.787477986320821489e-05
4.712388980384689674e+00 1.099557428756427591e+00 2.486905960677555168e-05
4.869468613064179330e+00 1.099557428756427591e+00 1.636983843348551371e-05
5.026548245743668986e+00 1.099557428756427591e+00 1.075666065485169720e-05
5.183627878423158641e+00 1.099557428756427591e+00 7.009061445026462320e-06
5.340707511102649185e+00 1.099557428756427591e+00 4.483573909288688156e-06
5.497787143782137953e+00 1.099557428756427591e+00 2.772173699495969024e-06
5.654866776461627609e+00 1.099557428756427591e+00 1.614571486061607117e-06
5.811946409141117265e+00 1.099557428756427591e+00 8.443993010712090238e-07
5.969026041820606920e+00 1.099557428756427591e+00 3.563594958637853702e-07
6.126105674500097464e+00 1.099557428756427591e+00 8.637535733199795397e-08
0.000000000000000000e+00 1.256637061435917246e+00 -0.000000000000000000e+00
1.570796326794896558e-01 1.256637061435917246e+00 6.275055576289266902e-08
3.141592653589793116e-01 1.256637061435917246e+00 2.588902600527068379e-07
4.712388980384690229e-01 1.256637061435917246e+00 6.134436361366740867e-07
6.283185307179586232e-01 1.256637061435917246e+00 1.172960178060400861e-06
7.853981633974482790e-01 1.256637061435917246e+00 2.013934683339301099e-06
9.424777960769380458e-01 1.256637061435917246e+00 3.257226764712509734e-06
1.099557428756427591e+00 1.256637061435917246e+00 5.091925356800478723e-06
1.256637061435917246e+00 1.256637061435917246e+00 7.814441526215826705e-06
